timestamp,location_id,feeder_id,mv_line_id,area_type,area_type_id,hour,day_of_week,is_weekend,month,centroid_lat,centroid_lon,line_length_km,pv_kw_per_kwp,global_irradiance_wm2,temperature_c,wind_speed_ms,cloud_cover_pct,solar_radiation_wm2,synthetic_pv_capacity_kwp,synthetic_base_demand_kw,synthetic_local_demand_kw,synthetic_reverse_flow_limit_kw,oze_density_index,pv_generation_kw,reverse_flow_kw,overload_margin_kw,overload_kw,overload_ratio,target_overload_probability,target_overload_event,risk_level,risk_score,pvgis_source_kind,pvgis_source_timestamp,weather_source,weather_source_timestamp,weather_trust_status,target_source,source_note,split
2026-04-22T00:00:00+02:00,gliwice,gliwice_f01,osm_way_100207009,residential,0,0,2,0,4,50.435867,18.686646,18.577,0.0,0.0,9.8,0.28,68.0,0.0,960.85,520.0,303.78,321.98,0.72,0.0,0.0,-321.98,0.0,0.0,0.005,0,low,0,pvgis_sample_profile,2020-04-18T00:10:00+00:00,IMGW-PIB public synop API seeded demo projection,2026-04-18T00:00:00+02:00,imgw_observation_plus_demo_projection,synthetic_probability_from_reverse_flow_model,public PVGIS/OSM and IMGW-seeded weather inputs plus synthetic OSD context; not Tauron operational data,validation
2026-04-22T00:00:00+02:00,gliwice,gliwice_f02,osm_way_103697282,mixed,1,0,2,0,4,50.232542,18.645709,0.067,0.0,0.0,9.8,0.28,68.0,0.0,1044.12,710.0,382.39,267.34,0.68,0.0,0.0,-267.34,0.0,0.0,0.005,0,low,0,pvgis_sample_profile,2020-04-18T00:10:00+00:00,IMGW-PIB public synop API seeded demo projection,2026-04-18T00:00:00+02:00,imgw_observation_plus_demo_projection,synthetic_probability_from_reverse_flow_model,public PVGIS/OSM and IMGW-seeded weather inputs plus synthetic OSD context; not Tauron operational data,validation
2026-04-22T00:00:00+02:00,gliwice,gliwice_f03,osm_way_103697295,industrial,2,0,2,0,4,50.232562,18.645740,0.067,0.0,0.0,9.8,0.28,68.0,0.0,1200.01,1180.0,628.23,921.0,0.54,0.0,0.0,-921.0,0.0,0.0,0.005,0,low,0,pvgis_sample_profile,2020-04-18T00:10:00+00:00,IMGW-PIB public synop API seeded demo projection,2026-04-18T00:00:00+02:00,imgw_observation_plus_demo_projection,synthetic_probability_from_reverse_flow_model,public PVGIS/OSM and IMGW-seeded weather inputs plus synthetic OSD context; not Tauron operational data,validation
2026-04-22T00:00:00+02:00,gliwice,gliwice_f04,osm_way_103697306,residential,0,0,2,0,4,50.235209,18.633880,0.283,0.0,0.0,9.8,0.28,68.0,0.0,852.98,390.0,248.59,266.63,0.81,0.0,0.0,-266.63,0.0,0.0,0.005,0,low,0,pvgis_sample_profile,2020-04-18T00:10:00+00:00,IMGW-PIB public synop API seeded demo projection,2026-04-18T00:00:00+02:00,imgw_observation_plus_demo_projection,synthetic_probability_from_reverse_flow_model,public PVGIS/OSM and IMGW-seeded weather inputs plus synthetic OSD context; not Tauron operational data,validation
2026-04-22T00:00:00+02:00,gliwice,gliwice_f05,osm_way_157302285,rural,3,0,2,0,4,50.299235,18.614511,2.155,0.0,0.0,9.8,0.28,68.0,0.0,752.42,310.0,162.02,259.14,0.77,0.0,0.0,-259.14,0.0,0.0,0.005,0,low,0,pvgis_sample_profile,2020-04-18T00:10:00+00:00,IMGW-PIB public synop API seeded demo projection,2026-04-18T00:00:00+02:00,imgw_observation_plus_demo_projection,synthetic_probability_from_reverse_flow_model,public PVGIS/OSM and IMGW-seeded weather inputs plus synthetic OSD context; not Tauron operational data,validation
2026-04-22T01:00:00+02:00,gliwice,gliwice_f01,osm_way_100207009,residential,0,1,2,0,4,50.435867,18.686646,18.577,0.0,0.0,9.8,0.28,72.0,0.0,960.85,520.0,304.68,321.98,0.72,0.0,0.0,-321.98,0.0,0.0,0.005,0,low,0,pvgis_sample_profile,2020-04-18T01:10:00+00:00,IMGW-PIB public synop API seeded demo projection,2026-04-18T01:00:00+02:00,imgw_observation_plus_demo_projection,synthetic_probability_from_reverse_flow_model,public PVGIS/OSM and IMGW-seeded weather inputs plus synthetic OSD context; not Tauron operational data,validation
2026-04-22T01:00:00+02:00,gliwice,gliwice_f02,osm_way_103697282,mixed,1,1,2,0,4,50.232542,18.645709,0.067,0.0,0.0,9.8,0.28,72.0,0.0,1044.12,710.0,383.19,267.34,0.68,0.0,0.0,-267.34,0.0,0.0,0.005,0,low,0,pvgis_sample_profile,2020-04-18T01:10:00+00:00,IMGW-PIB public synop API seeded demo projection,2026-04-18T01:00:00+02:00,imgw_observation_plus_demo_projection,synthetic_probability_from_reverse_flow_model,public PVGIS/OSM and IMGW-seeded weather inputs plus synthetic OSD context; not Tauron operational data,validation
2026-04-22T01:00:00+02:00,gliwice,gliwice_f03,osm_way_103697295,industrial,2,1,2,0,4,50.232562,18.645740,0.067,0.0,0.0,9.8,0.28,72.0,0.0,1200.01,1180.0,628.49,921.0,0.54,0.0,0.0,-921.0,0.0,0.0,0.005,0,low,0,pvgis_sample_profile,2020-04-18T01:10:00+00:00,IMGW-PIB public synop API seeded demo projection,2026-04-18T01:00:00+02:00,imgw_observation_plus_demo_projection,synthetic_probability_from_reverse_flow_model,public PVGIS/OSM and IMGW-seeded weather inputs plus synthetic OSD context; not Tauron operational data,validation
2026-04-22T01:00:00+02:00,gliwice,gliwice_f04,osm_way_103697306,residential,0,1,2,0,4,50.235209,18.633880,0.283,0.0,0.0,9.8,0.28,72.0,0.0,852.98,390.0,249.33,266.63,0.81,0.0,0.0,-266.63,0.0,0.0,0.005,0,low,0,pvgis_sample_profile,2020-04-18T01:10:00+00:00,IMGW-PIB public synop API seeded demo projection,2026-04-18T01:00:00+02:00,imgw_observation_plus_demo_projection,synthetic_probability_from_reverse_flow_model,public PVGIS/OSM and IMGW-seeded weather inputs plus synthetic OSD context; not Tauron operational data,validation
2026-04-22T01:00:00+02:00,gliwice,gliwice_f05,osm_way_157302285,rural,3,1,2,0,4,50.299235,18.614511,2.155,0.0,0.0,9.8,0.28,72.0,0.0,752.42,310.0,162.31,259.14,0.77,0.0,0.0,-259.14,0.0,0.0,0.005,0,low,0,pvgis_sample_profile,2020-04-18T01:10:00+00:00,IMGW-PIB public synop API seeded demo projection,2026-04-18T01:00:00+02:00,imgw_observation_plus_demo_projection,synthetic_probability_from_reverse_flow_model,public PVGIS/OSM and IMGW-seeded weather inputs plus synthetic OSD context; not Tauron operational data,validation
2026-04-22T02:00:00+02:00,gliwice,gliwice_f01,osm_way_100207009,residential,0,2,2,0,4,50.435867,18.686646,18.577,0.0,0.0,9.8,0.28,74.9,0.0,960.85,520.0,308.96,321.98,0.72,0.0,0.0,-321.98,0.0,0.0,0.005,0,low,0,pvgis_sample_profile,2020-04-18T02:10:00+00:00,IMGW-PIB public synop API seeded demo projection,2026-04-18T02:00:00+02:00,imgw_observation_plus_demo_projection,synthetic_probability_from_reverse_flow_model,public PVGIS/OSM and IMGW-seeded weather inputs plus synthetic OSD context; not Tauron operational data,validation
